"Data Source","World Development Indicators",

"Last Updated Date","2019-10-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Central African Republic","CAF","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","630","630","590","590","600","650","610","640","660","690","670","700","720","690","730","740","790","830","840","920","970","1020","1090","710","720","750","790","830","870","",
"Canada","CAN","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19520","19560","19890","20710","21820","22670","23240","24470","25430","26900","28590","29360","30180","31540","33180","35580","37500","38960","39780","38230","39310","40880","41540","43620","45010","43990","44570","46300","47490","",
"Central Europe and the Baltics","CEB","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6539.19327328612","6847.68166489395","7348.166532967","7879.78898684155","8284.15240189781","8570.06238295097","8954.62305356741","9237.27344665895","9862.64245647648","10640.4009320845","11439.2353825474","12028.3216117826","12982.3912031966","13899.3680037127","15349.4508593643","16960.2029472684","19002.3954295057","19088.2678195256","19996.8110855013","21298.4955685583","22172.7442250787","23232.4754928148","24172.9847991065","25103.3444546322","26384.2640284666","28585.4280820512","30170.5714881742","",
"Switzerland","CHE","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28180","28540","28770","29280","29800","30620","31360","33220","34510","35710","38130","38240","38720","40190","41600","43980","48470","50050","49150","52750","56180","56830","59140","61380","62170","65450","64680","65370","68370","",
"Channel Islands","CHI","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4270","4700","5390","5910","6270","7070","7750","8370","8790","8720","9220","9640","9930","10180","10840","11640","13840","15050","15220","15060","16880","19110","20490","21470","21990","22010","22250","23260","24190","",
"China","CHN","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","990","1100","1270","1460","1670","1840","2040","2260","2420","2630","2900","3180","3520","3930","4440","5050","5860","6860","7660","8340","9260","10260","11300","12260","13460","14400","15450","16740","18140","",
"Cote d'Ivoire","CIV","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1820","1850","1840","1810","1860","1980","2130","2220","2320","2310","2160","2100","2030","1940","2070","2300","2350","2400","2460","2500","2520","2400","2660","2840","3130","3340","3650","3760","4030","",
"Cameroon","CMR","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1870","1760","1710","1580","1590","1630","1690","1760","1830","1900","1920","1980","2060","2180","2360","2410","2530","2630","2720","2760","2790","2880","2980","3090","3280","3390","3490","3580","3700","",
"Congo, Dem. Rep.","COD","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","510","500","530","500","490","450","450","420","440","460","480","510","540","560","570","590","620","650","680","700","760","800","850","860","900","",
"Congo, Rep.","COG","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2870","2980","3160","2880","2880","2010","2050","2520","2720","2400","2600","2670","2820","2880","2740","2870","3030","3080","3450","3550","3920","3980","4250","4450","4980","6030","5410","5070","5050","",
"Colombia","COL","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4770","4970","5200","5560","5960","6300","6400","6620","6650","6360","6550","6680","6830","7070","7540","8110","8800","9500","9840","9960","10340","11150","11760","12440","13210","13810","14110","14240","14490","",
"Comoros","COM","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1670","1590","1730","1760","1650","1700","1660","1710","1710","1720","1900","1940","1960","1990","2040","2110","2180","2210","2280","2320","2370","2460","2530","2630","2670","2670","2700","2770","2730","",
