"Data Source","World Development Indicators",

"Last Updated Date","2019-10-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Late-demographic dividend","LTE","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2778.59289942476","2897.55432279687","2961.77126910384","3149.21118507567","3325.51042863418","3549.89806343665","3755.23361351824","3974.85241311791","4059.95540177876","4259.61965457022","4656.00886279559","4965.81490818781","5324.094627521","5783.50042301537","6399.72641401284","7072.96328065691","8073.59842221346","9121.53228167262","10053.8108509552","10400.6317126505","11288.215885473","12409.8623983793","13362.215174786","14202.4938456395","15102.3798623283","15694.558403559","16428.3950355633","17546.2283921435","18740.8692949636","",
"Lithuania","LTU","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5910","6310","6940","7590","7640","8310","9320","10380","11770","12780","14330","16170","18380","20040","18480","19720","22020","23910","25970","27810","27730","29070","31920","34160","",
"Luxembourg","LUX","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28740","32080","32800","33870","34130","37500","38800","41280","41720","46240","49040","50290","49690","48960","58650","63000","63450","72700","71610","55730","61750","63530","63710","63840","67290","69470","71350","76300","71420","",
"Latvia","LVA","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5550","5830","6530","7120","7330","8010","9060","10090","10970","11960","13700","15360","17590","19180","18070","17780","19770","21110","22630","23720","24580","25770","28170","30270","",
"Macao SAR, China","MAC","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26550","27690","31370","32810","34110","34830","33980","33700","31630","30050","31000","34530","37230","40640","49810","53630","58760","74890","69430","70260","85570","100740","107770","117910","118090","98420","96770","106630","112480","",
"St. Martin (French part)","MAF","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Morocco","MAR","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2470","2690","2650","2630","2940","2790","3170","3120","3360","3410","3500","3800","3950","4220","4500","4770","5210","5490","5870","6020","6240","6590","6800","7180","7330","7670","7740","8080","8410","",
"Monaco","MCO","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Moldova","MDA","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2270","2290","2360","2220","2180","2270","2590","2840","3250","3630","4000","4320","4480","4950","4520","4970","5360","5550","6170","6560","6440","6790","7250","7680","",
"Madagascar","MDG","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1030","950","970","990","970","970","990","1030","1050","1090","1130","1190","1020","1110","1160","1220","1280","1370","1460","1360","1340","1350","1350","1370","1410","1410","1450","1510","1580","",
"Maldives","MDV","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5410","5840","6290","6730","7110","7430","7260","7720","8620","9190","8020","10180","9600","10780","9960","10310","11160","11320","11600","12310","12450","12930","13460","14120","",
"Middle East & North Africa","MEA","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7880.03513335568","8199.11858345777","8607.46621830699","8854.49478517156","8922.74605487137","9158.88066249963","9446.14413752994","9736.46560967721","10250.2809571102","10323.1162908036","10900.1286102752","11130.5811696239","11229.2089841464","11759.4247907366","12809.9799497611","13560.6914777651","14536.6531927984","15482.0582112235","16091.767810181","15929.5682656837","16463.8268499311","16961.0882419767","17604.5771183227","18040.0102821804","18536.4515881136","18931.0374320101","19847.2290455767","20161.5387811871","20657.3528731185","",
"Mexico","MEX","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6280","6690","7000","8360","8800","8170","8770","9460","9910","10220","10850","10920","10990","11280","11910","12390","13600","14050","14710","14310","15080","16260","16830","16870","17630","17830","18300","18970","19360","",
"Marshall Islands","MHL","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3310","2890","2810","2870","2910","3140","3330","3330","3300","3340","3530","3610","3810","3780","3730","3830","3980","3970","4260","4570","4990","4940","5120","5290","",
"Middle income","MIC","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2588.41063954102","2674.24371751531","2747.15030401324","2893.87074673568","3001.64155744011","3147.8873748805","3320.26724664711","3489.15506663936","3552.85223752068","3684.18873686612","3940.77173152576","4139.36344678013","4351.30196487846","4642.21245805654","5078.23553054695","5549.25529038204","6205.66343965979","6864.51593100857","7402.91485338627","7610.00816268551","8175.73903543116","8806.56339234692","9358.38044164043","9861.59240754952","10446.1829545752","10852.254183225","11375.2965183328","12073.4879627048","12806.4201515358","",
"North Macedonia","MKD","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5460","5340","4990","4780","4840","4910","5030","5150","5360","5600","6010","5980","6230","6420","7040","7620","8550","8810","10290","10840","11120","11400","11580","12350","13120","13400","14220","14690","15670","",
"Mali","MLI","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","820","930","900","930","950","940","1000","1040","1110","1160","1150","1270","1270","1410","1430","1520","1580","1640","1700","1740","1760","1810","1770","1800","1920","2010","2070","2170","2230","",
"Malta","MLT","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10040","10600","11090","11630","12210","13060","13710","15170","15600","17130","19010","19800","20670","20830","21350","21520","22380","24110","25530","24360","26350","27670","28250","29720","32080","34250","35140","37700","38940","",
"Myanmar","MMR","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","470","480","530","570","620","670","720","760","800","890","1030","1150","1300","1490","1730","2010","2320","2650","2960","3280","3610","3860","4030","4440","4810","5190","5570","5990","6480","",
"Middle East & North Africa (excluding high income)","MNA","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5177.03886362226","5130.26198198185","5368.60720185453","5535.22207074981","5577.54858072141","5763.17534138114","6020.28347227256","6249.43908076208","6670.99064980513","6882.02247933899","7264.44804418331","7500.9589640863","7735.32714120392","7942.19706627691","8642.0132870926","9142.79046704273","9834.25409209141","10589.9956368676","11038.1087411305","11145.5498950099","11584.0925432693","11507.1022726853","11832.8737086686","12010.0081793287","12285.079972621","12361.5715806844","13246.4735404663","13630.3016518743","","",
"Montenegro","MNE","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6310","7110","7500","7760","8240","8410","10620","12590","14020","13050","13540","14590","14100","15160","15580","16700","18020","19750","20740","",
"Mongolia","MNG","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3270","3080","2780","2690","2820","3050","3180","3330","3490","3610","3690","3860","4060","4360","4900","5280","5880","6490","7050","6820","6920","8120","9170","10440","10960","11110","11140","10990","12220","",
"Northern Mariana Islands","MNP","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Mozambique","MOZ","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","240","260","230","250","260","270","340","380","410","440","440","490","480","560","590","640","690","750","800","860","890","970","1040","1110","1170","1210","1230","1250","1300","",
"Mauritania","MRT","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1710","1780","1810","1890","1820","2000","2250","2130","2180","2320","2280","2230","2370","2480","2610","2840","3200","3300","3350","3310","3300","3380","3510","3690","3810","3830","3890","4000","4160","",
"Mauritius","MUS","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4880","5260","5670","6010","6250","6620","7010","7480","7920","8160","8950","9430","9670","10280","10970","11460","12430","13700","14520","14910","15470","16250","18040","19690","20790","21870","22880","24600","26030","",
"Malawi","MWI","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","470","520","490","550","490","580","640","660","670","680","690","650","660","700","740","760","800","880","940","1000","1040","1080","1080","1120","1180","1190","1220","1260","1310","",
"Malaysia","MYS","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6560","7170","7760","8560","9310","10200","11140","11770","10740","11100","11920","12090","12780","13660","14720","15800","17120","18480","19200","18900","19950","21290","22250","23470","25020","26360","27390","29200","30600","",
"North America","NAC","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23235.4101225285","23649.5863799737","24572.8285427323","25393.2080534014","26713.4578188146","27876.5619140798","29213.7261712279","30810.1297732463","32362.6176760509","33959.3694020232","35999.8175619671","36886.8419442492","37625.8407216261","38942.5015838724","41187.0225180152","43686.4457489863","46219.0215652131","47367.4239056566","47456.6042895833","46080.0615131856","47956.5445099687","49830.0235320104","51962.9488566805","53275.6022243158","55560.3245894235","56872.4655519936","57519.1807379974","59624.4866172752","61773.4761185113","",
"Namibia","NAM","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3780","4180","4340","4290","4340","4620","4650","4820","4970","4980","5350","5400","5750","6230","6810","6890","7530","7760","8000","7920","8170","8720","9050","9890","10580","11110","11000","10800","10920","",
"New Caledonia","NCL","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Niger","NER","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","570","580","540","540","560","560","580","580","630","610","600","630","630","650","650","680","710","730","780","750","790","790","860","880","930","940","960","990","1030","",
"Nigeria","NGA","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2060","2100","2160","2060","2050","2080","2170","2220","2220","2270","2230","2440","2760","2910","3190","3390","3830","3990","4220","4450","4710","4920","5130","5420","5810","5910","5760","5710","5700","",
"Nicaragua","NIC","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1890","1520","1410","1470","1770","1940","2100","2210","2330","2490","2610","2690","2730","2820","3020","3230","3390","3630","3780","3620","3780","4050","4330","4560","4820","5030","5260","5540","5390","",
"Netherlands","NLD","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19010","20060","20630","21390","22510","23770","24890","26270","27630","29670","32450","33040","34350","34470","35980","37110","41290","43880","45110","44130","45170","47250","48080","49910","49110","50340","50580","54650","56890","",
"Norway","NOR","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17920","18940","20160","21070","22610","24030","26490","28310","27870","30300","36470","37820","38070","38770","42570","48300","54120","55720","61480","55740","58580","62730","65990","67770","68100","63030","60600","64760","68310","",
"Nepal","NPL","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","770","830","860","890","960","980","1030","1080","1100","1140","1220","1280","1280","1340","1410","1500","1580","1670","1780","1870","1960","2060","2210","2350","2560","2660","2680","2900","3090","",
"Nauru","NRU","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5320","5600","6680","7540","8160","9660","12780","15840","16240","17530","19080","19480","",
"New Zealand","NZL","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14240","13590","13950","14810","15930","16780","17090","17990","18460","19350","20300","21360","22130","22830","23670","24020","25900","27290","27700","29440","29700","31250","31610","34790","35760","36210","37870","38870","39590","",
"OECD members","OED","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16537.9588046116","17199.0113051615","17822.2259793584","18416.2139452365","19268.2349076995","20030.0266122556","20973.6548906576","22006.5328505957","22842.9035029867","23746.6226649788","25308.3342119725","26096.0295917763","26875.6247569164","27640.452085888","29155.5650669545","30578.8323389489","32703.2757645417","34071.776254434","34774.13133791","33913.1559513193","35373.1424261985","36945.9464932309","38086.7413230956","39340.5747076586","40595.3174085994","41656.2844687431","42593.2148980924","44466.7859020349","45753.1493558311","",
"Oman","OMN","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22150","23480","24460","25440","25990","27260","28100","30070","30860","31240","33640","35570","34530","34330","35200","35510","34840","39700","41350","41620","41700","39390","40910","41190","39680","41060","41690","40690","41230","",
"Other small states","OSS","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10156.5681312065","10731.2315238447","11201.6215302858","11708.8937535912","12478.2707784401","13258.2296540447","15458.0587250101","17166.6126815595","18363.9244744031","18105.6890262284","19251.4286554972","21119.2570348615","21994.1259157983","22968.346884686","23647.5527285641","24787.01171675","25260.2348128561","25921.4612304479","26256.081215751","",
"Pakistan","PAK","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2070","2140","2270","2290","2350","2460","2520","2510","2530","2580","2670","2710","2830","3030","3230","3500","3740","3930","3990","4070","4140","4280","4450","4630","4850","5050","5280","5540","5840","",
"Panama","PAN","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4920","5300","5830","6300","6560","6550","6840","7180","7610","7770","8120","8150","8580","8660","9240","9990","10990","12270","13590","13560","13910","16090","17570","18620","19070","20040","20890","22190","23510","",
"Peru","PER","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3200","3410","3400","3560","4030","4320","4500","4800","4800","4860","5000","5110","5380","5600","5860","6290","6770","7510","8370","8510","9140","9840","10680","11540","11990","12500","12850","13140","13810","",
"Philippines","PHL","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2560","2600","2640","2710","2860","2990","3180","3380","3600","3660","3940","4090","4230","4410","4730","5050","5340","5710","5980","6200","6590","6820","7330","7920","8400","8850","9370","10030","10720","",
"Palau","PLW","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9080","9720","10050","10080","10990","12270","12220","12950","12560","12920","13260","14510","15190","14760","15920","17140","17660","17590","18820","",
"Papua New Guinea","PNG","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1380","1540","1650","1960","2100","2060","2130","2080","1970","1960","1950","1910","1910","1860","1970","2170","2170","2480","2510","2640","2800","2880","3000","2940","3670","3990","4110","4140","4150","",
"Poland","POL","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5720","5920","6310","6970","7560","8200","8860","9410","9960","10610","11070","11740","12140","12920","13650","14820","16220","17990","18670","20290","22020","22940","23890","24660","25880","26640","28690","30140","",
"Pre-demographic dividend","PRE","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1543.02645834827","1356.77613588776","1351.4545577573","1378.11729796426","1379.06795553113","1444.4960237305","1525.41106129683","1622.25013709709","1732.14055950434","1807.23712934042","1816.93654444572","1896.86515157944","1967.50534685217","1903.02040852051","2162.44032466733","2314.95973869876","2548.50683308972","2681.40619273811","2847.99251051388","2921.38714347876","3036.31302673253","3152.20193980849","3325.61429024561","3414.16931828172","3626.45659918761","3697.21428674702","3765.86881487901","3783.75458954183","3827.38769662275","",
"Puerto Rico","PRI","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10190","10700","11010","11640","12100","12720","13150","13930","14300","15510","16560","17020","17230","17700","20090","20610","21310","22230","22120","21660","21720","22390","23650","24370","24880","25390","25750","26190","26560","",
"Korea, Dem. People’s Rep.","PRK","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Portugal","PRT","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11760","12750","13250","13280","13600","14500","14960","15730","16600","17630","18530","19150","20010","20580","21150","22390","23870","24890","25590","25500","26390","26260","25810","27520","28250","28870","30330","31840","32200","",
"Paraguay","PRY","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5750","6140","6140","6090","5950","5550","5630","5770","5590","5980","6230","6850","7660","8290","8190","9090","9670","9590","10460","11070","11360","11790","12570","13180","",
"West Bank and Gaza","PSE","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2620","2750","2690","3040","3540","3790","3280","2860","2440","2760","3020","3430","3350","3630","3810","3970","4200","4720","5010","5170","5240","5450","5670","5820","5990","",
"Pacific island small states","PSS","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2602.04319759631","2643.75472444469","2786.715137008","2851.40403610393","2969.72875850714","3140.68174255967","3235.36439141426","3356.09966978653","3393.92506256572","3594.31663689359","3700.33105098267","3718.90424522098","3846.12085331464","3911.10755750384","4148.75710685974","4335.26338583011","4369.55071185792","4488.37117967546","4552.15772269215","4476.28544116223","4528.00604078556","4725.43456508241","4897.38776342195","5202.81653298772","5396.17104149197","5671.74354613687","5814.89507912206","6003.52481050086","6258.90110346257","",
"Post-demographic dividend","PST","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17773.9297920514","18455.464324141","19078.8394001094","19555.1823673635","20446.7400588309","21304.7773463733","22259.7820926696","23338.1855506837","24206.0576097902","25250.3051773033","26942.8109968182","27910.4481044086","28821.1824282403","29736.2855156042","31399.930141556","32976.3031769431","35230.3908680549","36733.1077736446","37438.3821235647","36493.7102335868","38021.3135822857","39589.0955713774","40805.0060405474","42158.0258847239","43458.003454555","44485.873959682","45516.5967162308","47544.7109863442","49058.7564078696","",
"French Polynesia","PYF","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Qatar","QAT","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","79380","84600","87820","89830","94170","85220","101750","103550","104730","98470","105360","114210","114710","116110","117750","121090","122670","124300","124130","",
"Romania","ROU","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5250","4790","4490","4670","4970","5390","5690","5510","5480","5530","5810","6480","7090","7380","8600","9320","11160","13240","16360","16380","16710","17610","18600","19370","20360","21130","23240","25940","27520","",
"Russian Federation","RUS","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7990","7820","6790","6350","5710","5570","5440","5580","5230","5680","6650","7260","7880","8970","10010","11540","14480","16280","19600","18760","19860","23590","25000","25330","24900","23400","23410","25080","26470","",
"Rwanda","RWA","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","560","580","670","670","360","510","560","610","620","610","630","670","760","770","840","940","1030","1120","1230","1280","1360","1460","1570","1620","1730","1850","1930","2040","2210","",
"South Asia","SAS","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1275.062337996","1309.16479089741","1383.51768173262","1447.48069777815","1534.73985917744","1643.63423085442","1751.27248183803","1811.73025275388","1895.92409614616","2033.70915417078","2118.03657716681","2219.20978738756","2306.24835252116","2481.14521168076","2692.93134362593","2940.7811336754","3210.40377751924","3490.73253172775","3614.21253220125","3842.24402030189","4110.53290050071","4358.14643370122","4614.67132019843","4910.74733373872","5284.3759926547","5665.65525173456","6091.03316178713","6549.97477811294","7068.28736864929","",
"Saudi Arabia","SAU","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28770","32510","33280","32970","32570","32880","33150","33420","34430","33060","34600","34210","32750","35910","38770","41060","42350","43310","45740","43990","45090","49170","51250","52120","53700","55320","55480","54530","55650","",
"Sudan","SDN","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1050","1060","1160","1240","1280","1360","1470","1620","1660","1670","1740","1820","1920","2020","2100","2270","2540","2800","3000","3020","3070","3490","3800","2690","3970","4140","4260","4460","4420","",
"Senegal","SEN","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1470","1510","1530","1530","1510","1590","1640","1670","1760","1840","1890","1980","1970","2100","2230","2370","2450","2570","2660","2640","2690","2700","2810","2850","3010","3140","3260","3460","3670","",
"Singapore","SGP","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22430","23920","25720","27990","31490","33630","34830","38120","36270","38460","41410","40730","42030","45110","48490","52650","59100","63510","61870","59610","70790","73420","75470","78420","83600","82930","85090","89840","94500","",
"Solomon Islands","SLB","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","840","940","1000","940","1020","1090","1060","1700","1700","1670","1450","1330","1260","1340","1430","1500","1630","1610","1570","1260","1340","1490","1880","2030","2080","2170","2140","2170","2280","",
"Sierra Leone","SLE","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","720","790","630","690","650","650","690","670","660","660","700","650","800","860","890","930","970","1120","1200","1230","1200","1240","1490","1720","1760","1400","1330","1500","1520","",
"El Salvador","SLV","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2850","2950","3210","3440","3650","3860","3910","4050","4170","4240","4370","4470","4570","4670","4810","5070","5460","5690","5930","5770","5970","6290","6500","6700","6900","7110","7290","7530","7850","",
"San Marino","SMR","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Somalia","SOM","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Serbia","SRB","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5580","5770","5150","5730","6140","6770","7150","7990","9070","10070","11010","12300","12340","12520","13450","13480","14060","14100","14230","14760","15360","16510","",
"Sub-Saharan Africa (excluding high income)","SSA","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1604.05489631668","1637.75923190335","1589.98035188489","1587.24853367795","1600.27364154722","1672.72060745878","1750.07276739889","1809.6781728083","1822.54994485331","1844.47623416488","1869.3404220445","1949.2700739685","2057.33217438165","2121.95190996207","2261.45265383469","2418.58250462497","2626.29280452845","2772.10940848565","2894.18469715859","2951.98043329807","3063.51050591565","3190.3171657441","3308.00025752656","3400.56285099364","3612.40619689289","3687.87679994895","3690.20300708348","3755.43133058496","3825.33843041579","",
"South Sudan","SSD","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2380","1890","2050","2040","1870","1550","","","",
"Sub-Saharan Africa","SSF","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1605.04238550033","1638.79554321014","1591.12754651339","1588.47700367182","1601.50218733824","1673.876622537","1751.29003693414","1811.06360215229","1824.02330040611","1845.94991965296","1870.81278835604","1950.7327340722","2058.66016066044","2123.23579000291","2262.79860855823","2420.06728803952","2627.9261375752","2773.7641519644","2895.73714183549","2953.5157046054","3065.1335894937","3192.05961089231","3309.77400592963","3402.43646810764","3614.32024535515","3689.87080149215","3692.22701109173","3757.54142057769","3827.60429888339","",
"Small states","SST","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9392.26946022198","9871.26651327063","10323.9056798552","10856.1121522906","11599.9278425572","12314.2467533259","14172.0052832115","15594.8388300088","16584.6776386877","16297.8355140592","17231.5717206173","18634.9947399927","19432.7020705633","20299.9798767319","20868.9970748369","21870.0816398051","22175.4689054942","22762.6308165585","23131.538078779","",
